objectid,filename,format,subject,latitude,longitude,title,date,creator,description,rights,licenseurl,repository,citation,url
UAA-1976-067-001-002,https://archive.org/download/UAA-1976-067-001-002/UAA-1976-067-001-002.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" stage set",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-002, ""School for Wives"" stage set, 1950",https://archive.org/details/UAA-1976-067-001-002
UAA-1976-067-001-007,https://archive.org/download/UAA-1976-067-001-007/UAA-1976-067-001-007.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" scenes from play",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-007, ""School for Wives"" scenes from play, 1950",https://archive.org/details/UAA-1976-067-001-007
UAA-1976-067-001-008,https://archive.org/download/UAA-1976-067-001-008/UAA-1976-067-001-008.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" scenes from play",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-008, ""School for Wives"" scenes from play, 1950",https://archive.org/details/UAA-1976-067-001-008
UAA-1976-067-001-011,https://archive.org/download/UAA-1976-067-001-011/UAA-1976-067-001-011.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" scenes from play",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-011, ""School for Wives"" scenes from play, 1950",https://archive.org/details/UAA-1976-067-001-011
UAA-1976-067-001-014,https://archive.org/download/UAA-1976-067-001-014/UAA-1976-067-001-014.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" scenes from play",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-014, ""School for Wives"" scenes from play, 1950",https://archive.org/details/UAA-1976-067-001-014
UAA-1976-067-001-016,https://archive.org/download/UAA-1976-067-001-016/UAA-1976-067-001-016.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" scenes from play",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-016, ""School for Wives"" scenes from play, 1950",https://archive.org/details/UAA-1976-067-001-016
UAA-1976-067-001-019,https://archive.org/download/UAA-1976-067-001-019/UAA-1976-067-001-019.jpg,image/jpeg,Arts/Fine Arts,,,"""School for Wives"" cast assembled on stage",1950,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-019, ""School for Wives"" cast assembled on stage, 1950",https://archive.org/details/UAA-1976-067-001-019
UAA-1976-067-001-020,https://archive.org/download/UAA-1976-067-001-020/UAA-1976-067-001-020.jpg,image/jpeg,Arts/Fine Arts,,,"""The Enchanted"" stage set",1954,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-020, ""The Enchanted"" stage set, 1954",https://archive.org/details/UAA-1976-067-001-020
UAA-1976-067-001-023,https://archive.org/download/UAA-1976-067-001-023/UAA-1976-067-001-023.jpg,image/jpeg,Arts/Fine Arts,,,"""The Enchanted"" scenes from play",1954,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-023, ""The Enchanted"" scenes from play, 1954",https://archive.org/details/UAA-1976-067-001-023
UAA-1976-067-001-026,https://archive.org/download/UAA-1976-067-001-026/UAA-1976-067-001-026.jpg,image/jpeg,Arts/Fine Arts,,,"""The Enchanted"" scenes from play",1954,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-026, ""The Enchanted"" scenes from play, 1954",https://archive.org/details/UAA-1976-067-001-026
UAA-1976-067-001-029,https://archive.org/download/UAA-1976-067-001-029/UAA-1976-067-001-029.jpg,image/jpeg,Arts/Fine Arts,,,"""The Enchanted"" scenes from play",1954,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-029, ""The Enchanted"" scenes from play, 1954",https://archive.org/details/UAA-1976-067-001-029
UAA-1976-067-001-033,https://archive.org/download/UAA-1976-067-001-033/UAA-1976-067-001-033.jpg,image/jpeg,Arts/Fine Arts,,,"""The Enchanted"" scenes from play",1954,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-033, ""The Enchanted"" scenes from play, 1954",https://archive.org/details/UAA-1976-067-001-033
UAA-1976-067-001-035,https://archive.org/download/UAA-1976-067-001-035/UAA-1976-067-001-035.jpg,image/jpeg,Arts/Fine Arts,,,"""The Enchanted"" scenes from play",1954,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-035, ""The Enchanted"" scenes from play, 1954",https://archive.org/details/UAA-1976-067-001-035
